"LINIA_29","NUM_ESCALA_23","FECHA_ENTRADA","FECHA_SALIDA","NOM_VAIXELL_23"
24564,"27063",05-08-21 06:00:00,05-08-21 20:00:00,"MSC ESTHI"
24564,"27400",18-08-21 06:00:00,18-08-21 20:00:00,"SEAMAX GREENWICH"
24564,"27065",06-08-21 06:00:00,06-08-21 20:00:00,"MSC SANDRA"
24564,"27255",12-08-21 06:00:00,12-08-21 20:00:00,"MSC TAMARA"
24564,"27252",11-08-21 06:00:00,11-08-21 20:00:00,"ANTON SCHULTE"
24564,"27376",07-08-21 06:00:00,07-08-21 20:00:00,"MSC BRIANNA"
24584,"27376",07-08-21 06:00:00,07-08-21 20:00:00,"MSC BRIANNA"
24584,"27063",05-08-21 06:00:00,05-08-21 20:00:00,"MSC ESTHI"
24584,"27255",12-08-21 06:00:00,12-08-21 20:00:00,"MSC TAMARA"
24584,"27252",11-08-21 06:00:00,11-08-21 20:00:00,"ANTON SCHULTE"
24584,"27065",06-08-21 06:00:00,06-08-21 20:00:00,"MSC SANDRA"
24584,"27400",18-08-21 06:00:00,18-08-21 20:00:00,"SEAMAX GREENWICH"
24624,"27252",11-08-21 06:00:00,11-08-21 20:00:00,"ANTON SCHULTE"
24624,"27255",12-08-21 06:00:00,12-08-21 20:00:00,"MSC TAMARA"
24624,"27376",07-08-21 06:00:00,07-08-21 20:00:00,"MSC BRIANNA"
24624,"27400",18-08-21 06:00:00,18-08-21 20:00:00,"SEAMAX GREENWICH"
24624,"27065",06-08-21 06:00:00,06-08-21 20:00:00,"MSC SANDRA"
24624,"27063",05-08-21 06:00:00,05-08-21 20:00:00,"MSC ESTHI"
24644,"25821",31-07-21 04:00:00,02-08-21 02:00:00,"JEBEL ALI"
24644,"25564",04-08-21 18:00:00,06-08-21 08:00:00,"ZEUS LUMOS"
24644,"27438",31-08-21 01:00:00,01-09-21 03:30:00,"SALAHUDDIN"
24644,"25565",20-08-21 12:00:00,22-08-21 06:00:00,"ZEPHYR LUMOS"
24644,"26300",15-08-21 08:00:00,17-08-21 00:00:00,"AFIF"
24644,"25825",05-08-21 07:00:00,07-08-21 07:00:00,"UNAYZAH"
24644,"25828",05-08-21 05:00:00,07-08-21 05:00:00,"PARIS EXPRESS"
24645,"26300",15-08-21 08:00:00,17-08-21 00:00:00,"AFIF"
24645,"25825",05-08-21 07:00:00,07-08-21 07:00:00,"UNAYZAH"
24645,"25565",20-08-21 12:00:00,22-08-21 06:00:00,"ZEPHYR LUMOS"
24645,"25821",31-07-21 04:00:00,02-08-21 02:00:00,"JEBEL ALI"
24645,"25828",05-08-21 05:00:00,07-08-21 05:00:00,"PARIS EXPRESS"
24645,"25564",04-08-21 18:00:00,06-08-21 08:00:00,"ZEUS LUMOS"
24645,"27438",31-08-21 01:00:00,01-09-21 03:30:00,"SALAHUDDIN"
24646,"26300",15-08-21 08:00:00,17-08-21 00:00:00,"AFIF"
24646,"25564",04-08-21 18:00:00,06-08-21 08:00:00,"ZEUS LUMOS"
24646,"25828",05-08-21 05:00:00,07-08-21 05:00:00,"PARIS EXPRESS"
24646,"27438",31-08-21 01:00:00,01-09-21 03:30:00,"SALAHUDDIN"
24646,"25821",31-07-21 04:00:00,02-08-21 02:00:00,"JEBEL ALI"
24646,"25565",20-08-21 12:00:00,22-08-21 06:00:00,"ZEPHYR LUMOS"
24646,"25825",05-08-21 07:00:00,07-08-21 07:00:00,"UNAYZAH"
24652,"25564",04-08-21 18:00:00,06-08-21 08:00:00,"ZEUS LUMOS"
24652,"25828",05-08-21 05:00:00,07-08-21 05:00:00,"PARIS EXPRESS"
24652,"25821",31-07-21 04:00:00,02-08-21 02:00:00,"JEBEL ALI"
24652,"26300",15-08-21 08:00:00,17-08-21 00:00:00,"AFIF"
24652,"25565",20-08-21 12:00:00,22-08-21 06:00:00,"ZEPHYR LUMOS"
24652,"25825",05-08-21 07:00:00,07-08-21 07:00:00,"UNAYZAH"
24652,"27438",31-08-21 01:00:00,01-09-21 03:30:00,"SALAHUDDIN"
24664,"26335",15-08-21 05:00:00,15-08-21 20:00:00,"TITTERI"
24664,"25927",08-08-21 05:00:00,08-08-21 20:00:00,"TAMANRASSET"
24664,"26332",24-08-21 05:00:00,24-08-21 20:00:00,"TAMANRASSET"
24664,"26682",19-08-21 05:00:00,19-08-21 20:00:00,"CIRTA"
24664,"26333",06-08-21 05:00:00,06-08-21 20:00:00,"DJANET"
24664,"26016",07-08-21 05:00:00,07-08-21 20:00:00,"CIRTA"
24664,"26721",26-08-21 05:00:00,26-08-21 20:00:00,"TITTERI"
24664,"26684",22-08-21 05:00:00,22-08-21 20:00:00,"DJANET"
24664,"26683",30-08-21 05:00:00,30-08-21 20:00:00,"CIRTA"
24684,"27263",11-08-21 13:00:00,11-08-21 20:00:00,"CMA CGM AGADIR"
24684,"27315",15-08-21 01:00:00,15-08-21 14:00:00,"ATLANTIC GENEVA"
24684,"27261",12-08-21 12:00:00,12-08-21 20:00:00,"OPS HAMBURG"
24684,"27033",05-08-21 12:00:00,06-08-21 08:00:00,"CONTSHIP ZEN"
24684,"26991",04-08-21 06:00:00,04-08-21 14:00:00,"WILHELMINE"
24684,"27057",08-08-21 01:00:00,08-08-21 14:00:00,"CONTSHIP RAY"
24684,"27171",01-08-21 09:00:00,02-08-21 02:00:00,"ATLANTIC GENEVA"
24684,"26687",01-08-21 10:00:00,02-08-21 02:00:00,"ATLANTIC MERCHANT"
24684,"27262",01-08-21 01:00:00,01-08-21 08:00:00,"CMA CGM AGADIR"
24686,"26991",04-08-21 06:00:00,04-08-21 14:00:00,"WILHELMINE"
24686,"27315",15-08-21 01:00:00,15-08-21 14:00:00,"ATLANTIC GENEVA"
24686,"27033",05-08-21 12:00:00,06-08-21 08:00:00,"CONTSHIP ZEN"
24686,"27057",08-08-21 01:00:00,08-08-21 14:00:00,"CONTSHIP RAY"
24686,"27263",11-08-21 13:00:00,11-08-21 20:00:00,"CMA CGM AGADIR"
24686,"27262",01-08-21 01:00:00,01-08-21 08:00:00,"CMA CGM AGADIR"
24686,"27261",12-08-21 12:00:00,12-08-21 20:00:00,"OPS HAMBURG"
24686,"27171",01-08-21 09:00:00,02-08-21 02:00:00,"ATLANTIC GENEVA"
24686,"26687",01-08-21 10:00:00,02-08-21 02:00:00,"ATLANTIC MERCHANT"
