APB_LLRR_29|SERVEI_29|NUM_ESCALA_23|FECHA_ENTRADA|FECHA_SALIDA|NOM_VAIXELL_23
251||28749|27/10/2021 08;00|28/10/2021 08;00|VIENNA EXPRESS
37||28750|27/10/2021 02;00|27/10/2021 20;00|SEOUL EXPRESS
341||29006|02/10/2021 21;30|02/10/2021 23;30|GNV SEALAND
217||28721|15/10/2021 19;00|16/10/2021 14;00|CAROLINA STAR
251||28725|20/10/2021 18;00|21/10/2021 02;00|CMA CGM DALILA
325||29071|01/10/2021 13;47|01/10/2021 16;30|CECILIA PAYNE
222||29046|17/10/2021 08;00|17/10/2021 20;00|ATLANTIC GENEVA
120||29116|18/10/2021 06;00|18/10/2021 20;00|MSC TOMOKO
49||28831|07/10/2021 06;00|07/10/2021 16;00|ELYSSA
307||28850|01/10/2021 19;00|01/10/2021 22;00|VOLCAN DE TIJARAFE
18||27530|07/10/2021 05;00|09/10/2021 07;00|ONE MANCHESTER
37||27554|06/10/2021 08;00|07/10/2021 14;00|DUESSELDORF EXPRESS
14||27580|21/10/2021 06;00|21/10/2021 20;00|ZIM CONSTANZA
57||29115|16/10/2021 06;00|16/10/2021 20;00|MSC JENNY
240||27663|29/10/2021 00;01|30/10/2021 08;00|CMA CGM LIBRA
18||28737|04/10/2021 00;00|05/10/2021 00;00|AL NASRIYAH
251||27531|06/10/2021 00;00|07/10/2021 00;00|CHICAGO EXPRESS
39||29180|03/10/2021 22;00|04/10/2021 21;00|LAKE TAUPO
222||28921|09/10/2021 23;00|10/10/2021 08;00|CMA CGM TANGER
57||29118|18/10/2021 06;00|18/10/2021 20;00|MSC CAPUCINE R
318||29167|10/10/2021 20;30|11/10/2021 22;15|CRUISE ROMA
57||28478|05/10/2021 06;00|05/10/2021 20;00|MSC RIONA
48||28485|15/10/2021 05;00|15/10/2021 20;00|AKHISAR
7||28770|06/11/2021 05;00|07/11/2021 05;00|GSL CHATEAU D'IF
320||29217|06/10/2021 19;00|06/10/2021 22;45|CIUDAD DE PALMA
341||29142|05/10/2021 21;30|05/10/2021 23;30|GNV SEALAND
307||29197|06/10/2021 19;00|06/10/2021 22;00|VOLCAN DE TIJARAFE
57||29119|18/10/2021 06;00|18/10/2021 20;00|MSC ROBERTA
62||29234|10/10/2021 08;00|10/10/2021 14;00|ECO BARCELONA
240||27662|02/10/2021 18;00|04/10/2021 02;00|CMA CGM TENERE
222||28538|06/10/2021 20;00|07/10/2021 08;00|CONTSHIP RAY
57||29077|01/10/2021 09;59|01/10/2021 20;00|KANTATA
49||28077|14/10/2021 06;00|14/10/2021 16;00|AMILCAR
341||29005|01/10/2021 18;00|01/10/2021 23;00|GNV SEALAND
57||28945|08/10/2021 06;00|08/10/2021 20;00|MSC MARIA PIA
252||28694|02/10/2021 20;00|03/10/2021 08;00|DINA TRADER
307||29199|08/10/2021 19;00|08/10/2021 22;00|VOLCAN DE TIJARAFE
233||28924|21/10/2021 13;00|22/10/2021 09;00|ANTWERP TRADER
21||29174|08/10/2021 07;00|08/10/2021 10;00|FANTASTIC
217||29176|05/11/2021 19;00|06/11/2021 02;00|OLIVIA I
25||29185|29/10/2021 05;00|29/10/2021 20;00|DJANET
217||28861|22/10/2021 19;00|23/10/2021 02;00|KRISTINA
197||28986|05/10/2021 06;30|05/10/2021 14;30|GRANDE SPAGNA
205||28085|29/09/2021 07;56|01/10/2021 20;00|JONA SOPHIE
325||28211|02/10/2021 19;00|03/10/2021 22;00|ABEL MATUTES
325||28213|05/10/2021 19;00|05/10/2021 22;00|ABEL MATUTES
62||29033|04/10/2021 14;00|04/10/2021 18;00|ECO VALENCIA
233||29123|11/10/2021 06;00|11/10/2021 14;00|SAFMARINE NILE
233||29148|08/10/2021 20;00|09/10/2021 14;00|NYSTED MAERSK
318||29166|08/10/2021 19;00|08/10/2021 23;00|CRUISE ROMA
251||28816|01/10/2021 10;21|02/10/2021 02;00|OOCL EUROPE
21||29170|05/10/2021 07;00|05/10/2021 10;00|GNV CRISTAL
233||28366|06/10/2021 08;00|06/10/2021 14;00|NORA MAERSK
18||28790|09/11/2021 06;00|10/11/2021 14;00|PARIS EXPRESS
101||28764|24/10/2021 05;00|25/10/2021 14;00|NINGBO EXPRESS
57||29178|07/10/2021 06;00|07/10/2021 20;00|AVRA MITERAS
320||29219|08/10/2021 19;00|08/10/2021 22;45|CIUDAD DE PALMA
323||29221|11/10/2021 07;00|11/10/2021 22;45|CIUDAD DE PALMA
307||29196|05/10/2021 19;00|05/10/2021 22;00|VOLCAN DE TIJARAFE
205||29205|27/10/2021 06;00|29/10/2021 20;00|JONA SOPHIE
62||29229|05/10/2021 08;00|05/10/2021 13;00|EUROCARGO CAGLIARI
62||29232|07/10/2021 08;00|07/10/2021 12;00|ECO BARCELONA
43||28949|04/10/2021 12;00|04/10/2021 20;00|TRANQUIL ACE
25||28165|17/10/2021 05;00|17/10/2021 20;00|TITTERI
222||29022|06/10/2021 08;00|06/10/2021 14;00|PAULINE RUSS
329||28412|07/10/2021 18;00|07/10/2021 22;00|MARTIN I SOLER
252||29045|23/10/2021 06;00|23/10/2021 14;00|NORDIC ISTRIA
25||28164|25/10/2021 05;00|25/10/2021 20;00|TAMANRASSET
217||29096|29/10/2021 18;00|30/10/2021 02;00|ALEXIS
238||28768|29/10/2021 00;00|30/10/2021 00;00|CSAV TRAIGUEN
222||29150|19/10/2021 12;00|19/10/2021 20;00|CONESTE
57||29179|08/10/2021 06;00|08/10/2021 20;00|JSP BORA
101||28311|09/10/2021 07;00|09/10/2021 14;00|CMA CGM OTELLO
57||28942|08/10/2021 06;00|08/10/2021 20;00|MSC RIONA
120||28303|12/11/2021 06;00|12/11/2021 20;00|SEAMAX DARIEN
325||29060|04/10/2021 19;00|04/10/2021 22;00|ABEL MATUTES
151||29065|14/10/2021 08;00|15/10/2021 20;00|VERONICA B
240||28710|09/11/2021 08;00|10/11/2021 14;00|CMA CGM IGUACU
240||28711|17/11/2021 02;00|18/11/2021 08;00|CMA CGM FIDELIO
323||28855|01/10/2021 19;00|01/10/2021 22;00|VOLCAN DEL TEIDE
307||28851|04/10/2021 07;00|04/10/2021 22;00|VOLCAN DE TIJARAFE
131||29189|01/11/2021 06;00|02/11/2021 02;00|ODYSSEUS
5||28909|22/10/2021 06;00|22/10/2021 14;00|L'AUDACE
222||28985|12/10/2021 14;00|12/10/2021 20;00|ANNE
